id,name,
598,Dr . Thilenius Management GmbH,
599,IMVA Grundstücks GmbH & Co . KG,
600,C . A . Möller GmbH,
601,BTVG Würmtal - Unternehmer gesellschaft ( haftungsbeschränkt ),
602,Unterelbe Beteiligung gesellschaft Breuer & Co . OHG,
603,Trantower Agrar GmbH & Co . KG Vorpommern,
604,Salvemus gemeinnützige Gesellschaft für medizinische Versorgung zentren mbH,
605,Herzoglich Sächsische Vermögens verwaltung GmbH,
606,CD Recycling GmbH,
607,Traufen GmbH,
608,Oxalis GmbH,
609,Klemm + Sohn GmbH & Co . KG,
610,Reh GmbH & Co . KG,
611,Activ - Sport Büdelsdorf Verwaltungs GmbH,
612,S & H Bau unternehmen GmbH,
613,Gastro Il Quinto UG ( haftungsbeschränkt ),
614,Birgitt Stedtfeld Vermögens GmbH & Co . KG,
615,AdvantiPro GmbH,
616,Schäfer Trennwand systeme GmbH,
617,DAUTEL BETEILIGUNGS - GMBH,
618,PCS GmbH,
619,C . G . Verwaltungs GmbH,
620,Bücher & Kunst SV GmbH,
621,BBR rail automation GmbH,
622,Expa Objekt Verwaltungs GmbH,
623,Sport und Freizeit GmbH Offenbach,
624,BG Beteiligung GmbH,
625,KIMESSA GmbH,
626,Silica Anlagen bau GmbH & Co . KG,
